State,City,Locality,Property_Type,BHK,Size_in_SqFt,Furnished_Status,Floor_No,Total_Floors,Security,Amenities,Facing,Owner_Type,Availability_Status,Year_Built,Nearby_Schools,Nearby_Hospitals,Public_Transport_Accessibility,Parking_Space,Price_in_Lakhs
Telangana,Mumbai,Locality_42,Builder Floor,3,1588.0,Semi-Furnished,2.0,29,Yes,Premium,North,Agent,Ready to Move,2024,5,3,6,1,370.6094480448715
Maharashtra,New Delhi,Locality_50,Villa,1,1680.0,Unfurnished,19.0,24,Yes,Basic,East,Owner,Under Construction,1998,0,0,1,0,342.57414240701405
Karnataka,Bangalore,Locality_20,Apartment,5,2401.0,Unfurnished,25.0,29,No,,North,Agent,Under Construction,2021,5,4,7,2,482.4319622481027
Delhi,Bangalore,Locality_45,Independent House,2,4990.0,Unfurnished,,21,Yes,,West,Owner,Ready to Move,2019,4,4,5,2,998.2137882655578
Karnataka,Hyderabad,Locality_40,Villa,3,686.0,Unfurnished,6.0,36,Yes,Premium,North,Agent,Ready to Move,2004,3,2,7,2,115.1152711867513
Delhi,Hyderabad,Locality_39,Independent House,4,2097.0,Semi-Furnished,12.0,17,No,Luxury,East,Owner,Ready to Move,2003,9,3,5,0,490.46910616396656
Tamil Nadu,Chennai,Locality_49,Apartment,3,3908.0,Semi-Furnished,20.0,37,No,Basic,West,Owner,Ready to Move,2006,4,4,5,2,580.7883446010088
Haryana,Bangalore,Locality_23,Independent House,2,4247.0,Unfurnished,23.0,36,Yes,Basic,South,Builder,Under Construction,2011,7,3,3,2,773.5276792227686
Tamil Nadu,Gurgaon,Locality_47,Apartment,3,3170.0,Unfurnished,30.0,34,Yes,Luxury,South,Agent,Under Construction,2019,8,2,5,0,936.4751223596026
Telangana,Pune,Locality_32,Apartment,1,739.0,Semi-Furnished,30.0,31,Yes,Luxury,South,Agent,Ready to Move,2006,1,0,8,2,157.13655694629313
Karnataka,New Delhi,Locality_47,Independent House,3,3080.0,Semi-Furnished,38.0,40,No,Basic,East,Builder,Under Construction,2005,5,1,8,0,599.2027497047786
Telangana,Hyderabad,Locality_33,Independent House,3,4736.0,Unfurnished,30.0,36,Yes,Premium,South,Owner,Under Construction,1997,2,1,2,3,954.653398089831
Haryana,Gurgaon,Locality_46,Apartment,4,638.0,Fully Furnished,30.0,32,Yes,Premium,North,Owner,Ready to Move,2020,1,1,1,0,132.77081569573107
Delhi,New Delhi,Locality_5,Villa,1,3006.0,Semi-Furnished,36.0,36,No,Luxury,South,Builder,Ready to Move,2001,0,3,2,3,808.0401193217389
Haryana,New Delhi,Locality_43,Builder Floor,1,4665.0,Semi-Furnished,,38,No,Basic,North-East,Builder,Ready to Move,2022,3,1,7,0,685.5343025443476
Maharashtra,Pune,Locality_48,Apartment,3,4980.0,Semi-Furnished,16.0,25,No,Luxury,North-East,Owner,Ready to Move,2001,7,0,3,1,1138.6421129738221
Haryana,Chennai,Locality_34,Independent House,4,2745.0,Unfurnished,24.0,34,No,Premium,South,Owner,Under Construction,2014,2,4,8,2,458.08693922427875
Maharashtra,Bangalore,Locality_40,Independent House,3,4800.0,Unfurnished,14.0,30,No,Premium,South,Builder,Ready to Move,2007,4,3,4,3,1231.5258497065922
Haryana,Pune,Locality_11,Villa,3,2249.0,Semi-Furnished,26.0,30,Yes,Luxury,North-East,Agent,Ready to Move,2008,9,0,8,2,423.76525251671393
Maharashtra,Gurgaon,Locality_50,Builder Floor,2,1067.0,Unfurnished,,20,Yes,Premium,South,Owner,Ready to Move,1992,4,3,2,2,220.44219331057351
Karnataka,Chennai,Locality_3,Apartment,2,1381.0,Unfurnished,14.0,20,Yes,Basic,West,Builder,Ready to Move,2024,4,3,5,0,202.85765477183205
Telangana,Gurgaon,Locality_33,Apartment,4,1139.0,Semi-Furnished,31.0,41,No,Luxury,North-East,Agent,Under Construction,1994,8,3,6,1,314.07485117526244
Telangana,Chennai,Locality_11,Builder Floor,5,4461.0,Unfurnished,2.0,44,No,Luxury,East,Agent,Ready to Move,2024,7,2,1,0,1243.4735591205995
Tamil Nadu,Hyderabad,Locality_16,Apartment,2,,Fully Furnished,4.0,48,No,Luxury,North-East,Agent,Ready to Move,2016,7,4,1,2,1114.331916622172
Telangana,Gurgaon,Locality_18,Builder Floor,5,2835.0,Unfurnished,,29,Yes,Premium,North,Agent,Under Construction,2010,0,1,9,0,829.1363584315418
Delhi,Pune,Locality_30,Independent House,1,4821.0,Unfurnished,20.0,27,No,Basic,West,Builder,Ready to Move,2005,0,2,5,3,562.3159095035629
Haryana,Chennai,Locality_48,Builder Floor,2,3485.0,Semi-Furnished,14.0,48,No,Luxury,East,Owner,Ready to Move,2017,1,4,4,1,627.1099336803901
Tamil Nadu,Chennai,Locality_10,Apartment,2,1059.0,Semi-Furnished,25.0,31,No,Luxury,South,Agent,Ready to Move,2014,7,1,1,2,181.7468831129204
Delhi,New Delhi,Locality_18,Builder Floor,4,1213.0,Fully Furnished,25.0,37,Yes,Premium,North,Agent,Under Construction,2022,9,2,3,0,284.84943655798406
Delhi,New Delhi,Locality_38,Villa,5,4488.0,Unfurnished,3.0,19,No,Basic,North,Builder,Ready to Move,2006,0,2,4,3,877.4186329518226
Maharashtra,Mumbai,Locality_19,Independent House,2,756.0,Fully Furnished,5.0,21,No,Luxury,West,Agent,Ready to Move,2019,3,0,5,1,279.9528740996112
Telangana,Gurgaon,Locality_36,Independent House,2,1076.0,Fully Furnished,38.0,38,Yes,Premium,East,Builder,Ready to Move,1993,8,2,5,0,235.06575505393107
Karnataka,New Delhi,Locality_13,Builder Floor,4,537.0,Semi-Furnished,26.0,32,No,Luxury,North,Builder,Under Construction,1991,1,3,8,0,168.00090091375537
Karnataka,Mumbai,Locality_46,Apartment,4,2572.0,Unfurnished,38.0,45,No,Premium,East,Owner,Ready to Move,1998,2,2,3,2,712.3082844175303
Tamil Nadu,Hyderabad,Locality_3,Villa,5,960.0,Semi-Furnished,38.0,48,No,Basic,East,Agent,Ready to Move,2020,5,3,7,3,161.2319573429191
Karnataka,Hyderabad,Locality_10,Independent House,1,1940.0,Fully Furnished,4.0,8,Yes,Premium,North,Owner,Ready to Move,2014,9,4,6,1,262.15967763214684
Haryana,New Delhi,Locality_38,Independent House,1,4978.0,Fully Furnished,7.0,17,No,Luxury,East,Builder,Under Construction,1994,2,4,6,0,1505.39010120592
Karnataka,Gurgaon,Locality_1,Apartment,3,2332.0,Semi-Furnished,30.0,34,No,Luxury,West,Agent,Under Construction,2013,3,3,9,1,603.2464704052107
Tamil Nadu,Chennai,Locality_27,Apartment,2,3899.0,Semi-Furnished,30.0,31,Yes,Premium,North,Builder,Ready to Move,2013,8,0,7,3,712.0456792237775
Karnataka,Bangalore,Locality_46,Villa,5,932.0,Semi-Furnished,19.0,27,Yes,Basic,West,Builder,Ready to Move,2018,8,0,7,2,208.56646996073246
Haryana,Gurgaon,Locality_8,Builder Floor,2,4651.0,Semi-Furnished,39.0,39,No,Basic,West,Builder,Under Construction,2020,9,4,1,2,990.0923403121967
Maharashtra,Pune,Locality_46,Apartment,5,2251.0,Semi-Furnished,35.0,37,Yes,Luxury,East,Agent,Ready to Move,2008,4,2,1,2,489.88869129957016
Tamil Nadu,Hyderabad,Locality_42,Builder Floor,5,2547.0,Fully Furnished,33.0,37,No,Luxury,East,Builder,Under Construction,2012,6,4,9,1,519.2071241807652
Maharashtra,New Delhi,Locality_17,Villa,5,3340.0,Semi-Furnished,33.0,35,,Premium,North,Builder,Under Construction,2024,8,4,9,1,962.2642111197874
Maharashtra,New Delhi,Locality_9,Builder Floor,2,756.0,Unfurnished,14.0,21,No,Premium,South,Agent,Under Construction,1995,7,3,3,0,202.9140537296697
Maharashtra,Chennai,Locality_6,Independent House,4,1171.0,Fully Furnished,38.0,44,No,,North,Owner,Ready to Move,1995,6,0,8,3,236.37848485883381
Delhi,Pune,Locality_43,Builder Floor,2,989.0,Fully Furnished,10.0,46,No,Basic,West,Builder,Under Construction,2019,7,3,9,3,149.37364438626935
Telangana,Chennai,Locality_25,Villa,5,4214.0,Unfurnished,28.0,38,Yes,Basic,East,Owner,Under Construction,1990,4,4,1,3,565.0373179408328
Delhi,Pune,Locality_39,Villa,3,2596.0,Unfurnished,14.0,31,Yes,Luxury,West,Owner,Ready to Move,1997,4,1,3,1,572.027900625711
Telangana,Bangalore,Locality_49,Villa,1,2182.0,Fully Furnished,36.0,37,No,Luxury,North-East,Owner,Ready to Move,2017,4,2,6,2,472.9633535378168
Maharashtra,Hyderabad,Locality_28,Builder Floor,5,4911.0,Semi-Furnished,38.0,39,No,Luxury,North-East,Owner,Ready to Move,2014,0,4,4,3,1235.9340957722616
Tamil Nadu,New Delhi,Locality_33,Independent House,3,2960.0,Fully Furnished,16.0,19,No,Premium,West,Owner,Under Construction,2022,5,3,8,0,667.2477154503429
Telangana,New Delhi,Locality_37,Apartment,4,4412.0,Fully Furnished,21.0,39,No,Basic,South,Owner,Under Construction,2003,4,1,9,1,896.2411149766393
Haryana,Bangalore,Locality_9,Independent House,5,2475.0,Unfurnished,28.0,29,Yes,Luxury,South,Agent,Ready to Move,2000,7,1,7,2,817.3154405039373
Haryana,Mumbai,Locality_18,Builder Floor,3,,Fully Furnished,33.0,34,Yes,Luxury,North,Agent,Under Construction,1991,7,4,1,3,1536.2586239301393
Karnataka,Hyderabad,Locality_21,Builder Floor,5,1889.0,Semi-Furnished,,21,No,Luxury,North,Owner,Ready to Move,2019,1,0,2,2,497.4827543502021
Telangana,Chennai,Locality_2,Apartment,2,4356.0,Unfurnished,15.0,25,Yes,Luxury,North,Agent,Ready to Move,2019,5,1,1,0,920.4920857488622
Tamil Nadu,Bangalore,Locality_43,Builder Floor,3,2084.0,Fully Furnished,3.0,17,Yes,Luxury,East,Agent,Ready to Move,1993,9,2,9,3,679.5812664842108
Delhi,Chennai,Locality_38,Villa,2,3463.0,Fully Furnished,35.0,43,Yes,Luxury,South,Owner,Ready to Move,2002,9,3,4,3,590.6335954909646
Maharashtra,Gurgaon,Locality_40,Villa,2,1476.0,Semi-Furnished,14.0,21,No,Basic,West,Owner,Ready to Move,1996,5,3,8,2,216.13968912382066
Karnataka,New Delhi,Locality_36,Villa,3,3864.0,Fully Furnished,2.0,8,No,Luxury,North-East,Builder,Under Construction,1992,2,3,5,1,1323.9615050293253
Haryana,Chennai,Locality_50,Villa,1,545.0,Fully Furnished,29.0,47,Yes,Basic,South,Agent,Under Construction,1998,0,4,5,2,64.33033491268245
Delhi,Pune,Locality_43,Villa,3,1693.0,Fully Furnished,4.0,32,Yes,Premium,South,Owner,Ready to Move,2003,6,3,5,0,307.9064057168846
Delhi,Chennai,Locality_37,Builder Floor,1,3842.0,Fully Furnished,26.0,31,No,Basic,South,Agent,Under Construction,2000,9,3,5,2,413.80139368415973
Maharashtra,Gurgaon,Locality_15,Apartment,5,746.0,Semi-Furnished,12.0,30,No,Premium,North,Agent,Under Construction,2003,4,2,3,2,201.97294144853785
Telangana,Hyderabad,Locality_28,Apartment,5,3719.0,Fully Furnished,2.0,15,No,,East,Agent,Ready to Move,2008,9,0,6,3,599.440970456645
Haryana,New Delhi,Locality_18,Villa,3,4825.0,Fully Furnished,17.0,28,Yes,Basic,West,Builder,Under Construction,1997,4,4,1,1,941.5574511498302
Tamil Nadu,Bangalore,Locality_34,Builder Floor,5,1291.0,Fully Furnished,35.0,47,Yes,Luxury,North,Owner,Under Construction,1996,7,4,8,1,397.3515840889432
Delhi,Gurgaon,Locality_22,Independent House,4,1136.0,Unfurnished,10.0,14,Yes,Basic,East,Agent,Ready to Move,1996,4,3,4,1,227.47504916146104
Maharashtra,New Delhi,Locality_11,Independent House,2,4275.0,Semi-Furnished,22.0,41,No,Basic,South,Owner,Under Construction,1992,4,2,6,1,965.2267722879567
Tamil Nadu,Chennai,Locality_13,Builder Floor,2,2921.0,Unfurnished,21.0,23,No,Luxury,East,Agent,Under Construction,1992,0,1,2,2,689.4609552457639
Telangana,Hyderabad,Locality_4,Villa,1,1588.0,Unfurnished,15.0,48,No,Premium,North,Owner,Under Construction,2007,1,3,2,3,261.927016502529
Haryana,Mumbai,Locality_22,Apartment,5,4683.0,Semi-Furnished,35.0,46,No,Luxury,South,Owner,Under Construction,2022,4,3,8,3,2268.665688489985
Telangana,Hyderabad,Locality_7,Builder Floor,1,,Unfurnished,,43,No,Luxury,North,Owner,Under Construction,2017,6,4,1,1,601.8734125733702
Delhi,Mumbai,Locality_43,Independent House,2,1212.0,Unfurnished,21.0,23,Yes,Luxury,West,Agent,Ready to Move,2005,2,4,8,2,446.5530302255394
Tamil Nadu,Pune,Locality_24,Independent House,2,4144.0,Unfurnished,21.0,23,Yes,Premium,South,Builder,Ready to Move,2004,0,3,1,1,689.3386416224267
Tamil Nadu,Hyderabad,Locality_4,Independent House,5,4390.0,Semi-Furnished,,38,Yes,Basic,East,Owner,Ready to Move,2018,1,4,9,1,795.6655598921262
Tamil Nadu,New Delhi,Locality_28,Villa,4,3086.0,Fully Furnished,5.0,26,No,Basic,North,Builder,Ready to Move,2007,2,2,1,3,608.6973929331135
Delhi,Mumbai,Locality_15,Independent House,4,4809.0,Semi-Furnished,39.0,41,Yes,,North-East,Owner,Ready to Move,2008,8,1,4,3,2044.6317615375708
Delhi,Bangalore,Locality_1,Builder Floor,5,,Semi-Furnished,9.0,34,No,Luxury,East,Builder,Under Construction,2018,7,1,9,1,684.6430781505732
Telangana,New Delhi,Locality_3,Builder Floor,5,4114.0,Semi-Furnished,18.0,24,Yes,,East,Owner,Under Construction,1995,3,1,1,2,896.7431429214032
Karnataka,Bangalore,Locality_14,Independent House,1,1742.0,Unfurnished,21.0,33,Yes,Basic,South,Builder,Ready to Move,2016,7,3,9,1,302.815833846541
Telangana,Hyderabad,Locality_38,Builder Floor,5,2559.0,Fully Furnished,8.0,25,No,Basic,East,Owner,Ready to Move,1996,8,3,8,3,463.9787096103799
Haryana,Bangalore,Locality_50,Independent House,4,3986.0,Semi-Furnished,34.0,38,Yes,Premium,North,Owner,Ready to Move,2016,2,3,5,3,937.9747367123877
Maharashtra,Mumbai,Locality_1,Independent House,5,4832.0,Semi-Furnished,10.0,41,Yes,Premium,North-East,Builder,Under Construction,2008,5,2,6,2,1673.7755352239894
Tamil Nadu,New Delhi,Locality_38,Apartment,1,4310.0,Fully Furnished,24.0,29,Yes,Luxury,West,Owner,Under Construction,2006,7,1,5,1,994.7334192129797
Karnataka,Chennai,Locality_38,Villa,1,4400.0,Fully Furnished,24.0,48,Yes,Premium,North-East,Agent,Under Construction,2000,9,4,4,1,681.7523292178366
Maharashtra,Gurgaon,Locality_21,Villa,1,3105.0,Fully Furnished,32.0,36,Yes,Luxury,North,Owner,Under Construction,1994,6,4,4,0,617.2418339599382
Karnataka,Mumbai,Locality_48,Apartment,1,3534.0,Unfurnished,33.0,41,Yes,Basic,South,Owner,Under Construction,1991,8,0,8,1,792.9967221258385
Telangana,Mumbai,Locality_29,Apartment,3,4707.0,Fully Furnished,38.0,46,Yes,Basic,North,Agent,Under Construction,2001,6,0,8,2,1108.6139161516562
Delhi,Chennai,Locality_5,Villa,5,4551.0,Unfurnished,34.0,34,No,Luxury,East,Agent,Ready to Move,2000,0,4,9,3,1326.3614924942456
Tamil Nadu,New Delhi,Locality_49,Independent House,2,3863.0,Semi-Furnished,11.0,38,Yes,Basic,South,Agent,Under Construction,1999,8,1,3,0,735.2178097664953
Telangana,New Delhi,Locality_10,Independent House,5,4521.0,Unfurnished,31.0,42,No,Luxury,West,Builder,Ready to Move,2017,4,3,8,2,1583.9982148892243
Maharashtra,Hyderabad,Locality_28,Villa,3,,Fully Furnished,18.0,27,Yes,Luxury,West,Agent,Ready to Move,1996,5,4,3,2,492.95307590725264
Maharashtra,Bangalore,Locality_21,Independent House,1,882.0,Unfurnished,23.0,29,No,Luxury,North,Builder,Under Construction,2003,1,4,2,0,192.31033142085175
Maharashtra,Hyderabad,Locality_50,Apartment,3,4612.0,Fully Furnished,,28,,Premium,East,Agent,Under Construction,2002,1,0,2,1,685.8993046058746
Maharashtra,Chennai,Locality_7,Independent House,4,4310.0,Unfurnished,18.0,34,Yes,Luxury,West,Builder,Under Construction,1994,3,1,9,0,1131.834428629686
Maharashtra,Hyderabad,Locality_3,Independent House,4,2396.0,Semi-Furnished,39.0,44,No,Luxury,North-East,Agent,Under Construction,1997,3,4,4,2,528.920574057772
Karnataka,Chennai,Locality_45,Builder Floor,5,2009.0,Unfurnished,20.0,28,No,Luxury,South,Agent,Under Construction,1990,4,3,5,1,503.0169043909104
Telangana,New Delhi,Locality_47,Builder Floor,5,4712.0,Semi-Furnished,13.0,46,Yes,Premium,North-East,Owner,Under Construction,1994,6,3,2,3,1096.439863723282
Tamil Nadu,Bangalore,Locality_20,Builder Floor,2,2078.0,Fully Furnished,1.0,18,No,Basic,West,Agent,Under Construction,2000,0,2,9,0,287.6971471919792
Delhi,Hyderabad,Locality_19,Independent House,2,1379.0,Semi-Furnished,4.0,12,Yes,Premium,West,Owner,Under Construction,1999,9,3,7,2,226.9248330697887
Delhi,Mumbai,Locality_35,Villa,4,2662.0,Fully Furnished,24.0,28,No,Luxury,North,Agent,Ready to Move,2004,3,4,3,1,1158.8731795344654
Telangana,Pune,Locality_4,Apartment,1,2072.0,Fully Furnished,36.0,36,No,Premium,North,Agent,Ready to Move,2018,8,4,6,2,327.33779162325294
Telangana,Gurgaon,Locality_5,Independent House,3,2148.0,Semi-Furnished,36.0,39,No,Basic,South,Owner,Under Construction,2014,7,3,7,1,362.7285011328948
Delhi,Mumbai,Locality_1,Villa,2,1859.0,Semi-Furnished,2.0,29,No,Basic,North,Owner,Ready to Move,1995,2,0,6,1,339.8872905279075
Delhi,New Delhi,Locality_4,Independent House,2,4931.0,Unfurnished,28.0,34,Yes,Luxury,East,Builder,Under Construction,2000,5,1,6,0,1647.2280539368523
Karnataka,Gurgaon,Locality_12,Apartment,1,3469.0,Unfurnished,26.0,36,Yes,Basic,South,Owner,Ready to Move,2006,8,4,8,3,618.5507932282092
Haryana,Pune,Locality_27,Independent House,1,4460.0,Semi-Furnished,23.0,28,Yes,Premium,East,Builder,Ready to Move,2004,7,3,8,1,838.2041504889529
Tamil Nadu,Pune,Locality_42,Apartment,5,4311.0,Semi-Furnished,15.0,19,Yes,Premium,North,Agent,Under Construction,2005,6,3,5,2,775.613223931411
Maharashtra,Bangalore,Locality_23,Independent House,3,4742.0,Semi-Furnished,36.0,37,Yes,Basic,South,Owner,Under Construction,1991,6,4,4,1,1002.0330435403306
Haryana,Gurgaon,Locality_25,Apartment,1,4717.0,Semi-Furnished,27.0,31,No,Luxury,West,Owner,Under Construction,2008,0,2,5,3,1328.8619142007099
Telangana,Bangalore,Locality_21,Independent House,2,580.0,Fully Furnished,6.0,9,,Luxury,North-East,Agent,Ready to Move,2010,4,1,9,2,169.1471785344777
Delhi,Mumbai,Locality_24,Apartment,2,3232.0,Semi-Furnished,35.0,40,No,Premium,West,Agent,Ready to Move,2000,6,4,6,1,672.1186507982032
Haryana,Chennai,Locality_25,Builder Floor,4,3209.0,Semi-Furnished,39.0,48,Yes,Basic,East,Agent,Under Construction,1992,1,3,3,1,542.0041253711248
Tamil Nadu,Chennai,Locality_45,Independent House,1,2922.0,Semi-Furnished,38.0,46,Yes,Premium,West,Agent,Ready to Move,2023,5,2,3,0,432.57967560922447
Telangana,Chennai,Locality_46,Independent House,5,4141.0,Semi-Furnished,35.0,49,Yes,Premium,West,Owner,Under Construction,2007,1,4,1,3,843.9184539873346
Maharashtra,Gurgaon,Locality_32,Villa,3,1167.0,Fully Furnished,36.0,45,Yes,Premium,North-East,Agent,Ready to Move,2004,2,1,5,1,269.7138961209263
Maharashtra,Chennai,Locality_32,Villa,5,2996.0,Unfurnished,10.0,14,No,Luxury,North-East,Agent,Under Construction,2014,0,2,6,3,813.4889445117929
Tamil Nadu,Mumbai,Locality_5,Apartment,2,3999.0,Unfurnished,30.0,30,Yes,Basic,West,Owner,Ready to Move,2004,2,3,8,1,1036.4852726739482
Tamil Nadu,Bangalore,Locality_36,Independent House,5,3998.0,Unfurnished,38.0,46,No,,North-East,Builder,Under Construction,2019,6,0,9,2,910.2855182717609
Delhi,Gurgaon,Locality_46,Apartment,2,1944.0,Unfurnished,29.0,34,No,Luxury,West,Owner,Under Construction,2006,4,1,7,3,562.2620409482879
Maharashtra,Bangalore,Locality_42,Builder Floor,2,1845.0,Unfurnished,39.0,46,Yes,Premium,South,Builder,Under Construction,2007,3,2,1,2,394.92936688905496
Telangana,Gurgaon,Locality_49,Villa,2,1689.0,Fully Furnished,4.0,31,No,Premium,West,Agent,Ready to Move,2020,7,4,7,3,393.311160896157
Haryana,Bangalore,Locality_42,Apartment,2,958.0,Unfurnished,5.0,37,No,Luxury,North,Owner,Under Construction,2007,7,4,9,2,226.16936937491272
Telangana,Pune,Locality_39,Apartment,2,1712.0,Fully Furnished,4.0,24,Yes,Basic,North-East,Agent,Ready to Move,2024,0,2,4,1,228.79965318663793
Karnataka,Bangalore,Locality_16,Villa,4,1411.0,Fully Furnished,36.0,43,No,Luxury,North-East,Owner,Under Construction,2002,8,4,7,2,462.0152243511469
Karnataka,Chennai,Locality_33,Independent House,5,1525.0,Unfurnished,16.0,45,Yes,Basic,East,Builder,Under Construction,2003,8,2,9,2,206.643308946576
Tamil Nadu,Pune,Locality_49,Apartment,4,2911.0,Unfurnished,25.0,44,Yes,Basic,East,Owner,Under Construction,2007,1,1,1,1,539.7618351491553
Delhi,Bangalore,Locality_21,Villa,4,571.0,Unfurnished,14.0,17,No,Basic,North,Agent,Ready to Move,1994,1,4,9,3,125.96555793833497
Karnataka,Gurgaon,Locality_9,Independent House,1,3185.0,Semi-Furnished,11.0,18,No,,North-East,Owner,Ready to Move,2003,7,1,4,2,636.0781285015552
Maharashtra,Gurgaon,Locality_6,Builder Floor,1,1693.0,Fully Furnished,29.0,48,No,Premium,North-East,Agent,Ready to Move,2014,5,3,8,0,390.2089534623115
Telangana,Gurgaon,Locality_45,Villa,1,2348.0,Unfurnished,,44,No,Luxury,East,Owner,Under Construction,2001,2,3,3,0,574.8741209397374
Telangana,New Delhi,Locality_35,Apartment,3,2884.0,Semi-Furnished,22.0,26,No,Luxury,East,Builder,Ready to Move,2017,1,3,2,2,783.9439234583941
Tamil Nadu,Mumbai,Locality_39,Builder Floor,1,2522.0,Fully Furnished,14.0,22,No,Premium,West,Owner,Under Construction,2024,4,3,8,2,566.0057201393133
Haryana,Gurgaon,Locality_22,Independent House,5,4241.0,Semi-Furnished,24.0,33,No,Luxury,North-East,Owner,Under Construction,1990,7,4,8,2,1663.7108525082544
Tamil Nadu,Pune,Locality_41,Independent House,4,1798.0,Semi-Furnished,39.0,47,Yes,Premium,North-East,Owner,Under Construction,1992,5,2,3,3,434.0642699157204
Haryana,Gurgaon,Locality_5,Villa,5,,Unfurnished,26.0,31,Yes,Premium,West,Owner,Under Construction,1996,2,4,8,1,1203.700171257245
Tamil Nadu,New Delhi,Locality_42,Villa,1,1404.0,Fully Furnished,36.0,39,Yes,Basic,North-East,Builder,Under Construction,1998,8,4,6,0,214.17457952095015
Tamil Nadu,Chennai,Locality_23,Villa,3,3526.0,Semi-Furnished,39.0,48,No,Basic,North,Agent,Ready to Move,2012,7,1,9,0,461.12335080843866
Tamil Nadu,Pune,Locality_17,Independent House,3,2528.0,Fully Furnished,16.0,17,No,Premium,East,Owner,Ready to Move,2013,9,2,6,3,483.33041856218256
Haryana,New Delhi,Locality_12,Builder Floor,4,3120.0,Unfurnished,,41,No,Basic,East,Owner,Under Construction,1999,5,0,8,2,719.0345581462128
Haryana,Chennai,Locality_23,Independent House,5,3146.0,Fully Furnished,32.0,40,Yes,Premium,East,Owner,Under Construction,2001,0,0,2,2,655.3140179618739
Tamil Nadu,Hyderabad,Locality_16,Apartment,2,,Semi-Furnished,6.0,14,Yes,Basic,South,Builder,Ready to Move,2008,1,2,1,1,417.5318693623351
Karnataka,Hyderabad,Locality_3,Independent House,5,4372.0,Semi-Furnished,34.0,42,Yes,Luxury,North,Agent,Under Construction,2021,3,0,2,1,1173.4893988468257
Delhi,Pune,Locality_30,Apartment,1,1985.0,Fully Furnished,8.0,36,No,Luxury,North,Agent,Under Construction,2013,1,2,4,0,355.4312136889122
Delhi,Bangalore,Locality_22,Builder Floor,2,3651.0,Semi-Furnished,30.0,35,Yes,Premium,West,Owner,Under Construction,2011,2,1,9,1,705.1408250020726
Delhi,Mumbai,Locality_9,Villa,3,1940.0,Semi-Furnished,27.0,35,Yes,Premium,South,Owner,Under Construction,1992,7,1,7,0,618.7983054641616
Haryana,Mumbai,Locality_29,Villa,4,1265.0,Semi-Furnished,7.0,16,No,Basic,North-East,Agent,Ready to Move,2016,8,4,9,3,335.78789109427544
Haryana,New Delhi,Locality_47,Independent House,4,4979.0,Unfurnished,,31,Yes,Basic,North,Owner,Under Construction,2008,5,0,9,2,966.478953414059
Karnataka,Chennai,Locality_37,Villa,3,2938.0,Unfurnished,25.0,27,Yes,Premium,South,Owner,Ready to Move,1998,3,2,9,2,468.9782015584707
Delhi,Mumbai,Locality_23,Builder Floor,1,4592.0,Semi-Furnished,15.0,41,Yes,,South,Owner,Ready to Move,2002,1,1,8,0,1522.6227090220648
Delhi,Chennai,Locality_13,Villa,3,1649.0,Fully Furnished,25.0,31,No,Luxury,North,Builder,Ready to Move,1991,6,4,6,2,307.31699936310986
Tamil Nadu,Chennai,Locality_32,Independent House,1,4065.0,Unfurnished,22.0,27,Yes,Premium,West,Builder,Ready to Move,2018,9,0,7,3,635.344142064243
Haryana,New Delhi,Locality_46,Builder Floor,2,4642.0,Fully Furnished,18.0,37,No,Luxury,South,Agent,Under Construction,2000,6,0,2,1,1370.8726964567381
Delhi,New Delhi,Locality_47,Apartment,3,2472.0,Semi-Furnished,12.0,20,No,Premium,East,Builder,Under Construction,2023,9,0,1,3,530.0064275873833
Telangana,New Delhi,Locality_48,Independent House,1,3166.0,Semi-Furnished,23.0,25,Yes,Basic,South,Builder,Under Construction,1993,8,1,5,2,599.3145434131291
Karnataka,Mumbai,Locality_23,Apartment,2,963.0,Fully Furnished,39.0,41,,Luxury,North-East,Agent,Ready to Move,1993,4,1,8,3,267.3754348128243
Telangana,Hyderabad,Locality_45,Builder Floor,3,4718.0,Unfurnished,25.0,48,No,Luxury,North,Builder,Ready to Move,1990,9,0,3,2,970.8972755401471
Telangana,New Delhi,Locality_17,Independent House,4,2681.0,Fully Furnished,10.0,35,No,Basic,North-East,Agent,Ready to Move,2014,3,1,7,0,554.5567245254615
Karnataka,Mumbai,Locality_40,Independent House,3,2142.0,Fully Furnished,30.0,48,No,Basic,West,Owner,Under Construction,2015,9,0,5,1,539.3233234261513
Telangana,New Delhi,Locality_21,Builder Floor,5,4388.0,Semi-Furnished,10.0,28,No,Luxury,East,Agent,Under Construction,2000,5,3,8,1,1758.096866993759
Delhi,Gurgaon,Locality_2,Villa,3,1340.0,Unfurnished,34.0,38,No,,North,Agent,Under Construction,2012,1,1,6,2,339.94867371904814
Haryana,Chennai,Locality_37,Independent House,5,3154.0,Fully Furnished,13.0,22,Yes,Premium,South,Agent,Ready to Move,1991,1,2,6,2,702.4277879116393
Karnataka,New Delhi,Locality_6,Independent House,2,4618.0,Unfurnished,29.0,35,No,Premium,East,Owner,Ready to Move,2008,8,1,7,1,854.2600252953172
Tamil Nadu,Pune,Locality_44,Apartment,3,1065.0,Semi-Furnished,38.0,42,Yes,Luxury,South,Owner,Under Construction,2018,6,0,7,3,252.20635623329306
Telangana,Chennai,Locality_18,Villa,2,1464.0,Unfurnished,9.0,9,No,Premium,West,Owner,Ready to Move,1993,6,2,4,3,233.45492130744046
